ID,scaffold,start,end,df_Initial.Treatment,df_Residuals,sumsq_Initial.Treatment,sumsq_Residuals,meansq_Initial.Treatment,meansq_Residuals,statistic_Initial.Treatment,statistic_Residuals,p.value_Initial.Treatment,p.value_Residuals
Scaffold_06:55154838-55154952,Scaffold_06,55154838,55154952,2,9,0.223867320766765,0.393169322061015,0.111933660383382,0.0436854802290016,2.5622623305643,NA,0.131585794467595,NA
Scaffold_15:7011747-7011921,Scaffold_15,7011747,7011921,2,9,0.0758836126660081,0.134061340857044,0.037941806333004,0.0148957045396716,2.54716426684982,NA,0.132859170038341,NA
Scaffold_07:33681433-33681658,Scaffold_07,33681433,33681658,2,9,0.0256703873100159,0.0455682458078838,0.0128351936550079,0.0050631384230982,2.53502720693027,NA,0.13389374716458,NA
Scaffold_16:28626743-28626781,Scaffold_16,28626743,28626781,2,9,0.161477278553445,0.286708855840086,0.0807386392767227,0.0318565395377874,2.53444474661012,NA,0.13394364391487,NA
Scaffold_02:30569522-30569577,Scaffold_02,30569522,30569577,2,9,0.167838329172781,0.298394451978897,0.0839191645863906,0.0331549391087664,2.53112105894961,NA,0.134228804510476,NA
Scaffold_01:87607664-87608043,Scaffold_01,87607664,87608043,2,9,0.12694209861832,0.226635386495107,0.06347104930916,0.0251817096105674,2.52052185061036,NA,0.135143148527406,NA
Scaffold_03:47146610-47146642,Scaffold_03,47146610,47146642,2,9,0.348418253124373,0.62299424272628,0.174209126562187,0.0692215825251422,2.51668800693644,NA,0.135475749898737,NA
Scaffold_15:12287660-12287792,Scaffold_15,12287660,12287792,2,9,0.375476913283685,0.673825192278528,0.187738456641843,0.0748694658087254,2.50754369106188,NA,0.136273103924647,NA
Scaffold_11:44223308-44223410,Scaffold_11,44223308,44223410,2,9,0.13706534818074,0.249535828144797,0.0685326740903701,0.0277262031271997,2.47176556328186,NA,0.139448492980788,NA
Scaffold_02:52183105-52183142,Scaffold_02,52183105,52183142,2,9,0.0721493863409948,0.131702334416108,0.0360746931704974,0.0146335927129009,2.46519729489902,NA,0.140041227857519,NA
Scaffold_11:25459714-25459740,Scaffold_11,25459714,25459740,2,9,0.314445878930689,0.57450294968445,0.157222939465345,0.06383366107605,2.46300990441442,NA,0.140239305966286,NA
