"gene"	"adj.pval.Initial.Treatment"
"PGEN_.00g076180"	2.85122931109085e-09
"PGEN_.00g164830"	3.55017569405799e-09
"PGEN_.00g316170"	4.15627215498851e-09
"PGEN_.00g166920"	4.41981869488679e-09
"PGEN_.00g180050"	4.45609993530058e-09
"PGEN_.00g305530"	5.15827303334152e-09
"PGEN_.00g010510"	5.74955941002062e-09
"PGEN_.00g273250"	5.94246093260056e-09
"PGEN_.00g055170"	7.3528162758542e-09
"PGEN_.00g177600"	8.47882790924368e-09
"PGEN_.00g057380"	9.70625896658065e-09
"PGEN_.00g194770"	9.93768159260376e-09
"PGEN_.00g023640"	1.00810259068726e-08
"PGEN_.00g154790"	1.00810259068726e-08
"PGEN_.00g339540"	1.25193322333099e-08
"PGEN_.00g030340"	1.30331993766553e-08
"PGEN_.00g294980"	1.38213529865039e-08
"PGEN_.00g295490"	1.49799210253151e-08
"PGEN_.00g060650"	1.53980604300398e-08
"PGEN_.00g293770"	1.63560572871685e-08
"PGEN_.00g067250"	1.73983782043294e-08
"PGEN_.00g092080"	1.79983622207305e-08
"PGEN_.00g116640"	1.92991253735121e-08
"PGEN_.00g228480"	2.09597286987359e-08
"PGEN_.00g263030"	2.36767775626664e-08
"PGEN_.00g144670"	2.36833081997752e-08
"PGEN_.00g263790"	2.4734270637564e-08
"PGEN_.00g171290"	2.55760871748631e-08
"PGEN_.00g072210"	2.73753102931969e-08
"PGEN_.00g303160"	2.73753102931969e-08
"PGEN_.00g291540"	2.7451667099527e-08
"PGEN_.00g318790"	2.81024568587378e-08
"PGEN_.00g106140"	2.85268967756738e-08
"PGEN_.00g130160"	3.17301847736141e-08
"PGEN_.00g300060"	3.30083873493427e-08
"PGEN_.00g055620"	3.59141064916459e-08
"PGEN_.00g050180"	3.73800748080879e-08
"PGEN_.00g302860"	4.07493744222091e-08
"PGEN_.00g131450"	4.18814980027491e-08
"PGEN_.00g338160"	5.26748943702712e-08
"PGEN_.00g000180"	5.30832043468501e-08
"PGEN_.00g109360"	5.34950392647056e-08
"PGEN_.00g083960"	5.36713838834319e-08
"PGEN_.00g206830"	5.37304715682813e-08
"PGEN_.00g120380"	6.52007156533469e-08
"PGEN_.00g194760"	8.16440717457701e-08
"PGEN_.00g034500"	8.21643305860391e-08
"PGEN_.00g304970"	8.51475328347281e-08
"PGEN_.00g336030"	9.25717992022673e-08
"PGEN_.00g187810"	9.81931525884279e-08
"PGEN_.00g090230"	1.02209533398923e-07
"PGEN_.00g087910"	1.07373608427734e-07
"PGEN_.00g187930"	1.17492153721305e-07
"PGEN_.00g318170"	1.29502180326182e-07
"PGEN_.00g055690"	1.32323407591835e-07
"PGEN_.00g143460"	1.43168705584194e-07
"PGEN_.00g185020"	1.53534177001513e-07
"PGEN_.00g291200"	1.58423799471756e-07
"PGEN_.00g041110"	1.65473953272295e-07
"PGEN_.00g128070"	1.67250989701879e-07
"PGEN_.00g067800"	1.78202849570951e-07
"PGEN_.00g127200"	1.83635768324586e-07
"PGEN_.00g055200"	1.97779162547951e-07
"PGEN_.00g180630"	2.30016656634222e-07
"PGEN_.00g120700"	2.3914346455215e-07
"PGEN_.00g062630"	2.56875886841803e-07
"PGEN_.00g336970"	2.62700449145066e-07
"PGEN_.00g207740"	2.80753677644804e-07
"PGEN_.00g279710"	2.81543913435524e-07
"PGEN_.00g326070"	2.83979233286576e-07
"PGEN_.00g051410"	3.41644729154677e-07
"PGEN_.00g233560"	3.41644729154677e-07
"PGEN_.00g082390"	3.45331582058002e-07
"PGEN_.00g179440"	3.45331582058002e-07
"PGEN_.00g063030"	3.47449129028711e-07
"PGEN_.00g130130"	3.49100246316818e-07
"PGEN_.00g200990"	3.49100246316818e-07
"PGEN_.00g095220"	3.57717871093552e-07
"PGEN_.00g086210"	3.70194486004409e-07
"PGEN_.00g098830"	3.9711737458836e-07
"PGEN_.00g051430"	4.57083963530111e-07
"PGEN_.00g202160"	4.74855742864537e-07
"PGEN_.00g303930"	5.03351872160469e-07
"PGEN_.00g243810"	5.09279859899814e-07
"PGEN_.00g069450"	5.18976814021615e-07
"PGEN_.00g003970"	5.58345658800199e-07
"PGEN_.00g227970"	5.71659048930209e-07
"PGEN_.00g060440"	5.83388075688202e-07
"PGEN_.00g058720"	5.94776394025811e-07
"PGEN_.00g329630"	6.18182129039551e-07
"PGEN_.00g204300"	6.38763385703709e-07
"PGEN_.00g034440"	6.40791499207895e-07
"PGEN_.00g279210"	6.48383848924985e-07
"PGEN_.00g288440"	6.5264846002907e-07
"PGEN_.00g345220"	6.56095178928706e-07
"PGEN_.00g130110"	6.79864497648073e-07
"PGEN_.00g072950"	6.86214789286296e-07
"PGEN_.00g255630"	6.86214789286296e-07
"PGEN_.00g192640"	7.40406580086668e-07
"PGEN_.00g070620"	7.42293508900636e-07
"PGEN_.00g235990"	7.42661025831693e-07
"PGEN_.00g109630"	8.19704290957725e-07
"PGEN_.00g221000"	8.3437796862633e-07
"PGEN_.00g286080"	8.97849598616596e-07
"PGEN_.00g136060"	9.7582939985614e-07
"PGEN_.00g289490"	9.88810796149963e-07
"PGEN_.00g247700"	1.06653012063082e-06
"PGEN_.00g005310"	1.31802704426534e-06
"PGEN_.00g221880"	1.31802704426534e-06
"PGEN_.00g172140"	1.35491263394919e-06
"PGEN_.00g097800"	1.47961414388147e-06
"PGEN_.00g145870"	1.56404993782324e-06
"PGEN_.00g086020"	1.59677810345968e-06
"PGEN_.00g193590"	1.68858074048012e-06
"PGEN_.00g065950"	1.70627465124926e-06
"PGEN_.00g326080"	1.8607344628086e-06
"PGEN_.00g054210"	1.88873462484586e-06
"PGEN_.00g063400"	1.89453403405525e-06
"PGEN_.00g101990"	1.90733458136439e-06
"PGEN_.00g305680"	2.01785992177055e-06
"PGEN_.00g028040"	2.01978842482715e-06
"PGEN_.00g124830"	2.04093941123998e-06
"PGEN_.00g116020"	2.23990460166618e-06
"PGEN_.00g080730"	2.24086032820319e-06
"PGEN_.00g111090"	2.27042232784508e-06
"PGEN_.00g291050"	2.29151069989848e-06
"PGEN_.00g185010"	2.31816518987778e-06
"PGEN_.00g316700"	2.3560180930267e-06
"PGEN_.00g010910"	2.35890227579421e-06
"PGEN_.00g249400"	2.42402086908656e-06
"PGEN_.00g237280"	2.5468053691939e-06
"PGEN_.00g150020"	2.55998946220272e-06
"PGEN_.00g027930"	2.57262104993909e-06
"PGEN_.00g173630"	2.59484085308563e-06
"PGEN_.00g073260"	2.7685481864845e-06
"PGEN_.00g125980"	2.78571145903224e-06
"PGEN_.00g062120"	2.88409365321724e-06
"PGEN_.00g174200"	3.07968293802463e-06
"PGEN_.00g087850"	3.09538699967202e-06
"PGEN_.00g109600"	3.09538699967202e-06
"PGEN_.00g288010"	3.09538699967202e-06
"PGEN_.00g171020"	3.47026736365869e-06
"PGEN_.00g154630"	3.82111924986777e-06
"PGEN_.00g228070"	4.19447590360049e-06
"PGEN_.00g097430"	4.35186482539572e-06
"PGEN_.00g295860"	4.38698206127257e-06
"PGEN_.00g235980"	4.48732936296271e-06
"PGEN_.00g235970"	4.48732936296271e-06
"PGEN_.00g074780"	4.77610557785562e-06
"PGEN_.00g252830"	4.77610557785562e-06
"PGEN_.00g075170"	4.87479303232512e-06
"PGEN_.00g016980"	5.22848684025584e-06
"PGEN_.00g187880"	5.23468572364951e-06
"PGEN_.00g238720"	5.5750626877136e-06
"PGEN_.00g286500"	6.1940091793403e-06
"PGEN_.00g253390"	6.28364703174407e-06
"PGEN_.00g296710"	6.74040065029515e-06
"PGEN_.00g170740"	6.79785107892841e-06
"PGEN_.00g220640"	6.80266712457641e-06
"PGEN_.00g311190"	7.14671120691433e-06
"PGEN_.00g213170"	7.23204738849755e-06
"PGEN_.00g071370"	7.23518114898366e-06
"PGEN_.00g229850"	7.44372723864492e-06
"PGEN_.00g218090"	7.83997854514041e-06
"PGEN_.00g278340"	8.56160246189476e-06
"PGEN_.00g111610"	8.77812299775504e-06
"PGEN_.00g150230"	8.82592071168735e-06
"PGEN_.00g126170"	9.19142728917419e-06
"PGEN_.00g206430"	9.19142728917419e-06
"PGEN_.00g291580"	9.19142728917419e-06
"PGEN_.00g311360"	9.34765936045224e-06
"PGEN_.00g206990"	9.95752771312482e-06
"PGEN_.00g332240"	1.03167177333165e-05
"PGEN_.00g344090"	1.03263273519653e-05
"PGEN_.00g281850"	1.03914288398166e-05
"PGEN_.00g072310"	1.12248753482995e-05
"PGEN_.00g131030"	1.12652095797231e-05
"PGEN_.00g021210"	1.16396073767549e-05
"PGEN_.00g284710"	1.17071721629921e-05
"PGEN_.00g162300"	1.19181875262606e-05
"PGEN_.00g113810"	1.2133802013215e-05
"PGEN_.00g173230"	1.22158171778136e-05
"PGEN_.00g013860"	1.27334924488261e-05
"PGEN_.00g089850"	1.29072563052979e-05
"PGEN_.00g132400"	1.29347363182455e-05
"PGEN_.00g097340"	1.33527339173933e-05
"PGEN_.00g058020"	1.33809943636905e-05
"PGEN_.00g026850"	1.37017378405818e-05
"PGEN_.00g284960"	1.50170826100487e-05
"PGEN_.00g198820"	1.55400143030639e-05
"PGEN_.00g294540"	1.62763580586679e-05
"PGEN_.00g073040"	1.6315730845757e-05
"PGEN_.00g061360"	1.63274357224611e-05
"PGEN_.00g103320"	1.68529753375026e-05
"PGEN_.00g311750"	1.7270861119996e-05
"PGEN_.00g036470"	1.77175347982847e-05
"PGEN_.00g101830"	1.77175347982847e-05
"PGEN_.00g203450"	1.96794343219673e-05
"PGEN_.00g301580"	2.21424128538803e-05
"PGEN_.00g016570"	2.28848062177676e-05
"PGEN_.00g282560"	2.28875470054762e-05
"PGEN_.00g184750"	2.37359162894288e-05
"PGEN_.00g051240"	2.45196333300762e-05
"PGEN_.00g156700"	2.47619825996048e-05
"PGEN_.00g234920"	2.6103944552448e-05
"PGEN_.00g202630"	2.71039841507963e-05
"PGEN_.00g302590"	2.71574916164568e-05
"PGEN_.00g084590"	2.79506082030639e-05
"PGEN_.00g279870"	2.82104199140841e-05
"PGEN_.00g207510"	2.85390761290403e-05
"PGEN_.00g252820"	2.90460385024066e-05
"PGEN_.00g272050"	2.94055993781627e-05
"PGEN_.00g182490"	3.03463981990111e-05
"PGEN_.00g122160"	3.10763863150429e-05
"PGEN_.00g070040"	3.25497002295603e-05
"PGEN_.00g051680"	3.31327546038246e-05
"PGEN_.00g065280"	3.31327546038246e-05
"PGEN_.00g306550"	3.38639997575847e-05
"PGEN_.00g193010"	3.54857837686011e-05
"PGEN_.00g208840"	3.54857837686011e-05
"PGEN_.00g259110"	3.54857837686011e-05
"PGEN_.00g061770"	3.59672308119541e-05
"PGEN_.00g051050"	3.65966505979166e-05
"PGEN_.00g212470"	3.65966505979166e-05
"PGEN_.00g174990"	4.11133740790969e-05
"PGEN_.00g159640"	4.20023982134783e-05
"PGEN_.00g234820"	4.22887925013462e-05
"PGEN_.00g101020"	4.26800333550066e-05
"PGEN_.00g024320"	4.36922697143846e-05
"PGEN_.00g075700"	4.36922697143846e-05
"PGEN_.00g099680"	4.62023489132317e-05
"PGEN_.00g181850"	4.63084097905608e-05
"PGEN_.00g310520"	4.68198972543139e-05
"PGEN_.00g248010"	4.71153921690903e-05
"PGEN_.00g219570"	4.929032794997e-05
"PGEN_.00g299380"	5.01811854043619e-05
"PGEN_.00g239820"	5.04247367893781e-05
"PGEN_.00g067240"	5.09459674587625e-05
"PGEN_.00g183540"	5.18463938950605e-05
"PGEN_.00g017680"	5.28275852855953e-05
"PGEN_.00g119540"	5.42163360486714e-05
"PGEN_.00g251680"	5.4470011541758e-05
"PGEN_.00g334800"	5.55096063922492e-05
"PGEN_.00g254010"	5.60705543593309e-05
"PGEN_.00g213520"	5.69623991984213e-05
"PGEN_.00g330150"	5.78318942807612e-05
"PGEN_.00g077070"	5.82211511589329e-05
"PGEN_.00g060550"	5.84389411123995e-05
"PGEN_.00g056590"	5.94297642714707e-05
"PGEN_.00g100690"	6.12336440648464e-05
"PGEN_.00g151730"	6.12336440648464e-05
"PGEN_.00g207530"	6.19166593724204e-05
"PGEN_.00g210020"	6.24092431911938e-05
"PGEN_.00g035760"	6.25415833796371e-05
"PGEN_.00g135120"	6.41179479978713e-05
"PGEN_.00g205840"	6.41179479978713e-05
"PGEN_.00g232120"	6.41179479978713e-05
"PGEN_.00g279500"	6.41179479978713e-05
"PGEN_.00g270610"	6.4361050002549e-05
"PGEN_.00g327190"	6.4361050002549e-05
"PGEN_.00g063680"	6.54277545955274e-05
"PGEN_.00g037860"	6.76689438655511e-05
"PGEN_.00g222480"	6.89966400550437e-05
"PGEN_.00g289090"	6.9999695203134e-05
"PGEN_.00g330000"	7.00984039979675e-05
"PGEN_.00g159230"	7.01581607596935e-05
"PGEN_.00g169760"	7.18757267921675e-05
"PGEN_.00g210000"	7.45346832346055e-05
"PGEN_.00g043860"	7.47185328235551e-05
"PGEN_.00g275820"	7.47185328235551e-05
"PGEN_.00g260930"	7.86001446657854e-05
"PGEN_.00g035540"	7.87940439232554e-05
"PGEN_.00g185410"	7.95238200811693e-05
"PGEN_.00g332320"	8.04119976191521e-05
"PGEN_.00g178040"	8.11044403864299e-05
"PGEN_.00g270570"	8.42177377949613e-05
"PGEN_.00g175420"	8.54123496248037e-05
"PGEN_.00g304170"	8.54123496248037e-05
"PGEN_.00g203340"	8.57479793176633e-05
"PGEN_.00g345060"	8.57479793176633e-05
"PGEN_.00g062510"	9.4559703235022e-05
"PGEN_.00g268980"	0.000100678977593754
"PGEN_.00g326270"	0.000102961718963399
"PGEN_.00g303350"	0.000103232731324081
"PGEN_.00g108490"	0.00010686309429131
"PGEN_.00g262010"	0.00011588488130067
"PGEN_.00g186290"	0.000118694755792296
"PGEN_.00g288770"	0.000120481922978173
"PGEN_.00g241500"	0.000120578624420251
"PGEN_.00g160000"	0.000123232915570089
"PGEN_.00g310170"	0.000123489005901368
"PGEN_.00g123200"	0.00012904176899695
"PGEN_.00g066200"	0.000132304838708539
"PGEN_.00g096230"	0.000133941672470567
"PGEN_.00g163440"	0.000135902658014591
"PGEN_.00g180720"	0.000140207106047187
"PGEN_.00g129350"	0.000140670150204706
"PGEN_.00g241000"	0.000141278773903065
"PGEN_.00g052930"	0.000143172749949678
"PGEN_.00g085990"	0.000145351730241615
"PGEN_.00g144010"	0.000145351730241615
"PGEN_.00g176920"	0.000146296964972848
"PGEN_.00g023060"	0.000146592380820778
"PGEN_.00g148400"	0.000148480775005482
"PGEN_.00g280160"	0.000150721555630347
"PGEN_.00g305220"	0.000156655683479181
"PGEN_.00g347000"	0.000159545776383159
"PGEN_.00g337350"	0.00016285803406145
"PGEN_.00g078630"	0.000162955478437178
"PGEN_.00g019590"	0.000163240345799005
"PGEN_.00g179900"	0.000169821614700497
"PGEN_.00g004600"	0.000174665905227688
"PGEN_.00g005260"	0.000177368605275262
"PGEN_.00g178980"	0.000185581093945449
"PGEN_.00g306720"	0.00018721838715814
"PGEN_.00g197450"	0.000188011682451822
"PGEN_.00g210270"	0.000197524504252787
"PGEN_.00g057390"	0.000197861453694902
"PGEN_.00g210240"	0.000201094125636413
"PGEN_.00g080870"	0.000204824887406086
"PGEN_.00g054730"	0.000209670961847958
"PGEN_.00g107030"	0.000209670961847958
"PGEN_.00g337180"	0.000209670961847958
"PGEN_.00g341620"	0.000220049169045465
"PGEN_.00g243470"	0.000240440080313558
"PGEN_.00g234880"	0.000241520377627775
"PGEN_.00g213430"	0.000244669796321431
"PGEN_.00g102480"	0.000251533032885362
"PGEN_.00g108040"	0.000256623515112448
"PGEN_.00g283380"	0.000261789446262793
"PGEN_.00g038230"	0.000273438110304962
"PGEN_.00g072860"	0.000276691828382577
"PGEN_.00g016320"	0.000281681595897827
"PGEN_.00g310560"	0.000282576033166035
"PGEN_.00g303120"	0.000286335211555848
"PGEN_.00g206060"	0.000287616304526669
"PGEN_.00g123650"	0.000292545503301528
"PGEN_.00g325670"	0.00030260426983778
"PGEN_.00g054840"	0.000310372017907174
"PGEN_.00g142960"	0.000322136334800178
"PGEN_.00g312700"	0.000323243407528014
"PGEN_.00g316730"	0.000326445846941845
"PGEN_.00g064670"	0.000335276040237554
"PGEN_.00g073500"	0.000336719134219927
"PGEN_.00g078180"	0.000340291695655694
"PGEN_.00g041420"	0.000340960758759772
"PGEN_.00g261670"	0.000342439634725842
"PGEN_.00g034350"	0.000348162979184282
"PGEN_.00g196390"	0.000350166349712877
"PGEN_.00g147890"	0.000360037066951815
"PGEN_.00g325940"	0.000360247906792949
"PGEN_.00g325600"	0.000367648026189094
"PGEN_.00g275060"	0.000371721752504661
"PGEN_.00g055240"	0.000377885933586678
"PGEN_.00g001570"	0.000379543106809213
"PGEN_.00g062060"	0.000391006826535073
"PGEN_.00g222990"	0.000392206442998161
"PGEN_.00g233470"	0.000396232217905568
"PGEN_.00g153790"	0.000400995265641719
"PGEN_.00g069660"	0.000404752055792033
"PGEN_.00g247890"	0.00040877899670622
"PGEN_.00g001140"	0.000434193557397305
"PGEN_.00g331900"	0.000434193966183463
"PGEN_.00g284870"	0.000436283838686942
"PGEN_.00g030400"	0.000437442207527355
"PGEN_.00g247650"	0.00045756524573231
"PGEN_.00g017150"	0.000464836522083192
"PGEN_.00g198290"	0.000464836522083192
"PGEN_.00g179130"	0.000472424824905119
"PGEN_.00g288760"	0.000476817608002524
"PGEN_.00g233610"	0.0004929500576224
"PGEN_.00g022890"	0.000500898187785427
"PGEN_.00g166600"	0.000505495180777028
"PGEN_.00g341670"	0.000505495180777028
"PGEN_.00g296380"	0.000513683180586776
"PGEN_.00g175410"	0.000525871165155703
"PGEN_.00g034960"	0.000537079609391365
"PGEN_.00g139430"	0.000540440040395618
"PGEN_.00g011540"	0.000541178741146139
"PGEN_.00g063020"	0.000547581290354205
"PGEN_.00g018080"	0.00055741249190785
"PGEN_.00g229870"	0.00057777662634318
"PGEN_.00g078610"	0.000579140765029525
"PGEN_.00g196820"	0.000592300978331575
"PGEN_.00g332750"	0.000608045772888021
"PGEN_.00g333150"	0.000609752137147518
"PGEN_.00g274070"	0.00061329371526523
"PGEN_.00g163460"	0.000614985211589406
"PGEN_.00g303180"	0.000636066278976477
"PGEN_.00g025100"	0.000659320211686969
"PGEN_.00g286680"	0.000667593160468938
"PGEN_.00g259910"	0.000674299598589586
"PGEN_.00g236210"	0.0006877770119399
"PGEN_.00g250410"	0.000690851982114793
"PGEN_.00g123520"	0.000709016463375881
"PGEN_.00g090920"	0.000715669039321143
"PGEN_.00g023920"	0.000721136413544969
"PGEN_.00g228140"	0.00073314903319168
"PGEN_.00g139850"	0.000738748348916817
"PGEN_.00g164380"	0.000754726960655114
"PGEN_.00g048540"	0.000768731155321053
"PGEN_.00g204780"	0.000807641223002473
"PGEN_.00g287570"	0.00081031090050287
"PGEN_.00g291110"	0.000813064527685048
