"gene"	"adj.pval.treatment"
"PGEN_.00g231090"	0.0188833875127139
"PGEN_.00g167410"	0.0189011349598818
"PGEN_.00g029230"	0.0192041987093707
"PGEN_.00g131270"	0.019648332519261
"PGEN_.00g284620"	0.019648332519261
"PGEN_.00g293370"	0.019655889065923
"PGEN_.00g072250"	0.0200406669957295
"PGEN_.00g206240"	0.0200406669957295
"PGEN_.00g134770"	0.0200473149861953
"PGEN_.00g232500"	0.0201604352340003
"PGEN_.00g035120"	0.0203622038568379
"PGEN_.00g270670"	0.0203622038568379
"PGEN_.00g155550"	0.0203700145033832
"PGEN_.00g125020"	0.02042078091366
"PGEN_.00g230620"	0.02042078091366
"PGEN_.00g263050"	0.02042078091366
"PGEN_.00g142400"	0.0205763832615048
"PGEN_.00g263990"	0.0207654900671072
"PGEN_.00g064090"	0.0210765722050721
"PGEN_.00g003430"	0.0214094479527275
"PGEN_.00g060400"	0.0214094479527275
"PGEN_.00g153140"	0.0214094479527275
"PGEN_.00g218470"	0.0214094479527275
"PGEN_.00g094830"	0.0214530181972123
"PGEN_.00g266490"	0.0215682101888713
"PGEN_.00g037350"	0.0216559662646586
"PGEN_.00g126300"	0.0216897806431958
"PGEN_.00g174590"	0.0220203635147725
"PGEN_.00g283510"	0.0220203635147725
"PGEN_.00g270640"	0.0220809249535981
"PGEN_.00g130160"	0.0222295668663508
"PGEN_.00g252880"	0.0222295668663508
"PGEN_.00g031880"	0.0226524696533185
"PGEN_.00g125920"	0.0226524696533185
"PGEN_.00g233430"	0.0227660268971417
"PGEN_.00g234060"	0.022873382101134
"PGEN_.00g221160"	0.023004781801489
"PGEN_.00g133000"	0.0231178895099489
"PGEN_.00g269010"	0.0234220924480779
"PGEN_.00g150950"	0.023661270992646
"PGEN_.00g167390"	0.023661270992646
"PGEN_.00g263370"	0.023661270992646
"PGEN_.00g270020"	0.023661270992646
"PGEN_.00g102230"	0.0237400607993744
"PGEN_.00g266080"	0.0238498241435688
"PGEN_.00g033560"	0.0241944468378098
"PGEN_.00g131030"	0.0241944468378098
"PGEN_.00g312170"	0.0245827252116394
"PGEN_.00g281480"	0.0250141346864232
"PGEN_.00g312300"	0.0251401119320496
"PGEN_.00g181050"	0.0251799325710743
"PGEN_.00g287180"	0.0252520014348764
"PGEN_.00g310710"	0.0254183152559502
"PGEN_.00g027800"	0.0256664513122773
"PGEN_.00g330550"	0.0256664513122773
"PGEN_.00g079180"	0.0256715124600845
"PGEN_.00g163110"	0.0257851466720508
"PGEN_.00g194090"	0.0257851466720508
"PGEN_.00g010440"	0.0258825350992354
"PGEN_.00g101290"	0.0259087752324865
"PGEN_.00g277160"	0.0259087752324865
"PGEN_.00g311190"	0.0259087752324865
"PGEN_.00g173900"	0.0266554609311605
"PGEN_.00g296310"	0.026745652362241
"PGEN_.00g072770"	0.0272658094139151
"PGEN_.00g213360"	0.0274593199406645
"PGEN_.00g085220"	0.02778033687098
"PGEN_.00g150990"	0.0279918076071433
"PGEN_.00g282660"	0.0279942011924595
"PGEN_.00g035200"	0.028528656335562
"PGEN_.00g223270"	0.0287643962200911
"PGEN_.00g009140"	0.0290802766797797
"PGEN_.00g010490"	0.0291474879018234
"PGEN_.00g252770"	0.0291798697743716
"PGEN_.00g143030"	0.0292420009413334
"PGEN_.00g024190"	0.029343486989935
"PGEN_.00g076500"	0.0295186578593357
"PGEN_.00g112520"	0.0295186578593357
"PGEN_.00g291980"	0.0295186578593357
"PGEN_.00g289060"	0.0295688807010268
"PGEN_.00g029240"	0.0301793441062283
"PGEN_.00g151360"	0.0301793441062283
"PGEN_.00g171340"	0.0301793441062283
"PGEN_.00g221720"	0.0301793441062283
"PGEN_.00g215540"	0.0302990418190354
"PGEN_.00g278840"	0.0311450966991457
"PGEN_.00g053170"	0.0311471176654705
"PGEN_.00g264510"	0.0312091287925959
"PGEN_.00g034010"	0.0313729407734235
"PGEN_.00g051580"	0.0313729407734235
"PGEN_.00g097480"	0.0313934310801212
"PGEN_.00g254010"	0.0313934310801212
"PGEN_.00g059160"	0.0319725280045126
"PGEN_.00g017860"	0.0320715779321826
"PGEN_.00g180330"	0.0320715779321826
"PGEN_.00g161820"	0.032593841536418
"PGEN_.00g069530"	0.0329282000487778
"PGEN_.00g036740"	0.0330157980831928
"PGEN_.00g302590"	0.0335323003036348
"PGEN_.00g160060"	0.0335712001442718
"PGEN_.00g276890"	0.0335712001442718
"PGEN_.00g343770"	0.0339173855312945
"PGEN_.00g014630"	0.034160026851891
"PGEN_.00g126360"	0.0341652371739953
"PGEN_.00g023080"	0.0342383886829952
"PGEN_.00g161120"	0.0342383886829952
"PGEN_.00g308930"	0.0342383886829952
"PGEN_.00g014940"	0.0343538330411136
"PGEN_.00g337030"	0.0343538330411136
"PGEN_.00g203950"	0.0345094177234119
"PGEN_.00g287730"	0.0346009479403425
"PGEN_.00g029160"	0.035127511911091
"PGEN_.00g136060"	0.0353978143551991
"PGEN_.00g082390"	0.0355587663372623
"PGEN_.00g114020"	0.0357337525948555
"PGEN_.00g131620"	0.0359806015563519
"PGEN_.00g216680"	0.0362872448663542
"PGEN_.00g232090"	0.036459326643967
"PGEN_.00g281850"	0.036459326643967
"PGEN_.00g333730"	0.036459326643967
"PGEN_.00g190430"	0.0364649592744605
"PGEN_.00g247270"	0.0364941319306338
"PGEN_.00g095900"	0.0369944383207024
"PGEN_.00g250460"	0.0369944383207024
"PGEN_.00g031690"	0.0373762414506607
"PGEN_.00g105500"	0.0377933301771963
"PGEN_.00g150850"	0.0379833966521592
"PGEN_.00g232510"	0.0380446624501858
"PGEN_.00g137740"	0.0381511639601278
"PGEN_.00g188100"	0.0381511639601278
"PGEN_.00g025520"	0.0382379150397033
"PGEN_.00g227520"	0.0382379150397033
"PGEN_.00g207910"	0.0385652983141622
"PGEN_.00g125830"	0.0386549120997524
"PGEN_.00g144050"	0.0386549120997524
"PGEN_.00g088090"	0.038677833988944
"PGEN_.00g305950"	0.0387237915381078
"PGEN_.00g266480"	0.038881504032208
"PGEN_.00g178040"	0.0389909141854228
"PGEN_.00g017310"	0.0393726374063086
"PGEN_.00g080690"	0.0394827638846918
"PGEN_.00g120460"	0.0399690841702263
"PGEN_.00g131150"	0.0400264857746076
"PGEN_.00g233580"	0.0404096067229422
"PGEN_.00g163830"	0.0406575235792348
"PGEN_.00g045200"	0.0408154392152889
"PGEN_.00g266070"	0.0410245065868776
"PGEN_.00g271180"	0.0410245065868776
"PGEN_.00g290400"	0.0413023675513884
"PGEN_.00g119200"	0.0413280284106117
"PGEN_.00g018380"	0.04136305445089
"PGEN_.00g164000"	0.0425900822843154
"PGEN_.00g031870"	0.0426637180932587
"PGEN_.00g124270"	0.0426637180932587
"PGEN_.00g235790"	0.0429266298614001
"PGEN_.00g001430"	0.0432735311856574
"PGEN_.00g203530"	0.0432735311856574
"PGEN_.00g028280"	0.0432844767781971
"PGEN_.00g252460"	0.0433106131390423
"PGEN_.00g034040"	0.0434812121734321
"PGEN_.00g021750"	0.0437177463114872
"PGEN_.00g051490"	0.043873094455333
"PGEN_.00g214170"	0.0439511641395151
"PGEN_.00g204030"	0.0441653844112973
"PGEN_.00g232320"	0.0442892690071681
"PGEN_.00g070460"	0.0444114858617345
"PGEN_.00g241500"	0.0447339326116856
"PGEN_.00g166390"	0.0449923819852984
"PGEN_.00g186340"	0.0458153347026951
"PGEN_.00g123130"	0.0461458457651201
"PGEN_.00g092010"	0.0464856975599274
"PGEN_.00g221570"	0.0475784583917708
"PGEN_.00g216850"	0.0477003057432534
"PGEN_.00g022920"	0.0477377655623547
"PGEN_.00g010620"	0.0477752922441708
"PGEN_.00g026010"	0.0477752922441708
"PGEN_.00g070550"	0.0477752922441708
"PGEN_.00g157640"	0.0477752922441708
"PGEN_.00g237880"	0.0477752922441708
"PGEN_.00g338720"	0.0477793160025518
"PGEN_.00g198250"	0.0482270599151005
"PGEN_.00g211360"	0.0483003000512714
"PGEN_.00g253500"	0.0485601433235152
"PGEN_.00g070780"	0.0493653337382528
"PGEN_.00g195420"	0.0496658420581232
"PGEN_.00g087190"	0.0498717034005176
"PGEN_.00g296280"	0.0499602953661571
